file_path,label
data\19\100.png,19
data\19\1005.png,19
data\19\1014.png,19
data\19\1016.png,19
data\19\1022.png,19
data\19\1023.png,19
data\19\1039.png,19
data\19\1041.png,19
data\19\1047.png,19
data\19\1049.png,19
data\19\1055.png,19
data\19\1064.png,19
data\19\1067.png,19
data\19\1069.png,19
data\19\1076.png,19
data\19\1078.png,19
data\19\108.png,19
data\19\1096.png,19
data\19\1097.png,19
data\19\1106.png,19
data\19\111.png,19
data\19\1114.png,19
data\19\1116.png,19
data\19\1117.png,19
data\19\1128.png,19
data\19\1135.png,19
data\19\1143.png,19
data\19\1147.png,19
data\19\1149.png,19
data\19\1150.png,19
data\19\1155.png,19
data\19\1158.png,19
data\19\1160.png,19
data\19\1163.png,19
data\19\117.png,19
data\19\1173.png,19
data\19\1174.png,19
data\19\1184.png,19
data\19\1186.png,19
data\19\12.png,19
data\19\1204.png,19
data\19\1217.png,19
data\19\1221.png,19
data\19\1236.png,19
data\19\1241.png,19
data\19\1244.png,19
data\19\1249.png,19
data\19\1256.png,19
data\19\1259.png,19
data\19\1264.png,19
data\19\1269.png,19
data\19\1270.png,19
data\19\1279.png,19
data\19\1285.png,19
data\19\1296.png,19
data\19\1299.png,19
data\19\1306.png,19
data\19\1309.png,19
data\19\1310.png,19
data\19\1312.png,19
data\19\1315.png,19
data\19\1323.png,19
data\19\1324.png,19
data\19\1325.png,19
data\19\1326.png,19
data\19\1329.png,19
data\19\1331.png,19
data\19\1347.png,19
data\19\1352.png,19
data\19\1353.png,19
data\19\1357.png,19
data\19\1362.png,19
data\19\1367.png,19
data\19\1368.png,19
data\19\1369.png,19
data\19\1376.png,19
data\19\1377.png,19
data\19\1385.png,19
data\19\1388.png,19
data\19\1393.png,19
data\19\1402.png,19
data\19\1407.png,19
data\19\141.png,19
data\19\1427.png,19
data\19\1428.png,19
data\19\143.png,19
data\19\1437.png,19
data\19\144.png,19
data\19\1446.png,19
data\19\1452.png,19
data\19\1470.png,19
data\19\1472.png,19
data\19\1473.png,19
data\19\1475.png,19
data\19\1479.png,19
data\19\1482.png,19
data\19\1486.png,19
data\19\1489.png,19
data\19\149.png,19
data\19\1491.png,19
data\19\150.png,19
data\19\1502.png,19
data\19\1509.png,19
data\19\1512.png,19
data\19\1521.png,19
data\19\1526.png,19
data\19\1527.png,19
data\19\1528.png,19
data\19\1535.png,19
data\19\1537.png,19
data\19\1544.png,19
data\19\1562.png,19
data\19\1568.png,19
data\19\1569.png,19
data\19\1572.png,19
data\19\1575.png,19
data\19\1582.png,19
